instance_id,lime_time_s
0,0.009197
1,0.009001
2,0.008061
3,0.008516
4,0.008112
5,0.00829
6,0.007937
7,0.00801
8,0.007559
9,0.008222
10,0.007686
11,0.008624
12,0.007843
13,0.007929
14,0.008389
15,0.007916
16,0.007748
17,0.007667
18,0.007902
19,0.008068
20,0.00803
21,0.007973
22,0.007947
23,0.008169
24,0.008423
25,0.007762
26,0.008175
27,0.008265
28,0.008165
29,0.007609
30,0.008306
31,0.007715
32,0.008301
33,0.007926
34,0.008542
35,0.007714
36,0.008202
37,0.007636
38,0.00804
39,0.007818
40,0.007982
41,0.007976
42,0.00838
43,0.007847
44,0.007654
45,0.008509
46,0.008106
47,0.008237
48,0.008902
49,0.007676
50,0.008636
51,0.008579
52,0.007889
53,0.008125
54,0.007898
55,0.007899
56,0.007509
57,0.008108
58,0.008223
59,0.007898
60,0.007589
61,0.00787
62,0.008107
63,0.007695
64,0.007468
65,0.007872
66,0.008557
67,0.008863
68,0.007638
69,0.007751
70,0.007732
71,0.009003
72,0.007698
73,0.008091
74,0.007804
75,0.007612
76,0.007656
77,0.007595
78,0.007741
79,0.00748
80,0.007964
81,0.007708
82,0.008403
83,0.00756
84,0.008347
85,0.007509
86,0.007603
87,0.007517
88,0.007751
89,0.00775
90,0.007563
91,0.008
92,0.008436
93,0.008411
94,0.007791
95,0.007843
96,0.007553
97,0.007863
98,0.008204
99,0.008115
100,0.00834
101,0.008632
102,0.00784
103,0.008733
104,0.008012
105,0.008783
106,0.007787
107,0.008356
108,0.007775
109,0.008135
110,0.007672
111,0.008078
112,0.00822
113,0.008276
114,0.007729
115,0.007734
116,0.008637
117,0.008762
118,0.008049
119,0.007702
120,0.007567
121,0.008903
122,0.007927
123,0.007785
124,0.007989
125,0.007597
126,0.007875
127,0.007416
128,0.007563
129,0.007407
130,0.007801
131,0.007392
132,0.008121
133,0.00755
134,0.007885
135,0.008193
136,0.008621
137,0.007757
138,0.008547
139,0.008534
140,0.008
141,0.007824
142,0.008335
143,0.00798
144,0.008131
145,0.008315
146,0.008159
147,0.007853
148,0.007691
149,0.007908
150,0.008104
151,0.008574
152,0.008977
153,0.007849
154,0.00786
155,0.008132
156,0.007607
157,0.008614
158,0.008024
159,0.007899
160,0.007678
161,0.007666
162,0.008104
163,0.008569
164,0.007627
165,0.008131
166,0.007576
167,0.007944
168,0.008114
169,0.007867
170,0.007922
171,0.007903
172,0.008237
173,0.008739
174,0.007696
175,0.007532
176,0.007624
177,0.007501
178,0.007928
179,0.007759
180,0.007308
181,0.007179
182,0.007465
183,0.007662
184,0.008176
185,0.007826
186,0.008564
187,0.007694
188,0.007669
189,0.007683
190,0.00856
191,0.007808
192,0.007745
193,0.008825
194,0.00801
195,0.007908
196,0.007556
197,0.008001
198,0.008258
199,0.008241
200,0.007866
201,0.008238
202,0.007546
203,0.008271
204,0.008381
205,0.008695
206,0.007667
207,0.008803
208,0.007806
209,0.008319
210,0.007633
211,0.0079
212,0.007667
213,0.008298
214,0.007788
215,0.007736
216,0.008124
217,0.00766
218,0.007949
219,0.007652
220,0.008013
221,0.008147
222,0.008006
223,0.007599
224,0.00832
225,0.00845
226,0.008272
227,0.00767
228,0.008504
229,0.008254
230,0.008618
231,0.007635
232,0.007872
233,0.00752
234,0.008476
235,0.007778
236,0.008177
237,0.007735
238,0.007881
239,0.007755
240,0.007579
241,0.00778
242,0.007377
243,0.007889
244,0.007523
245,0.008096
246,0.008036
247,0.008488
248,0.00771
249,0.008437
250,0.008157
251,0.008883
252,0.008096
253,0.008212
254,0.007685
255,0.008494
256,0.007561
